"code_bss";"date_mesure";"niveau_nappe_eau"
"08501X0101/F";"2006-11-08";"0.79"
"08501X0101/F";"2006-11-09";"0.76"
"08501X0101/F";"2006-11-10";"0.73"
"08501X0101/F";"2006-11-11";"0.7"
"08501X0101/F";"2006-11-12";"0.68"
"08501X0101/F";"2006-11-13";"0.66"
"08501X0101/F";"2006-11-14";"0.65"
"08501X0101/F";"2006-11-15";"0.64"
"08501X0101/F";"2006-11-16";"0.64"
"08501X0101/F";"2006-11-17";"0.68"
"08501X0101/F";"2006-11-18";"0.68"
"08501X0101/F";"2006-11-19";"0.69"
"08501X0101/F";"2006-11-20";"0.71"
"08501X0101/F";"2006-11-21";"0.89"
"08501X0101/F";"2006-11-22";"0.92"
"08501X0101/F";"2006-11-23";"0.92"
"08501X0101/F";"2006-11-24";"0.9"
"08501X0101/F";"2006-11-25";"0.88"
"08501X0101/F";"2006-11-26";"0.85"
"08501X0101/F";"2006-11-27";"0.84"
"08501X0101/F";"2006-11-28";"0.83"
"08501X0101/F";"2006-11-29";"0.83"
"08501X0101/F";"2006-11-30";"0.82"
"08501X0101/F";"2006-12-01";"0.82"
"08501X0101/F";"2006-12-02";"0.81"
"08501X0101/F";"2006-12-03";"0.83"
"08501X0101/F";"2006-12-04";"0.88"
"08501X0101/F";"2006-12-05";"0.89"
"08501X0101/F";"2006-12-06";"0.92"
"08501X0101/F";"2006-12-07";"0.91"
"08501X0101/F";"2006-12-08";"0.99"
"08501X0101/F";"2006-12-09";"0.98"
"08501X0101/F";"2006-12-10";"0.92"
"08501X0101/F";"2006-12-11";"0.89"
"08501X0101/F";"2006-12-12";"0.88"
"08501X0101/F";"2006-12-13";"0.86"
"08501X0101/F";"2006-12-14";"0.85"
"08501X0101/F";"2006-12-15";"0.84"
"08501X0101/F";"2006-12-16";"0.83"
"08501X0101/F";"2006-12-17";"0.83"
"08501X0101/F";"2006-12-18";"0.82"
"08501X0101/F";"2006-12-19";"0.81"
"08501X0101/F";"2006-12-20";"0.8"
"08501X0101/F";"2006-12-21";"0.79"
"08501X0101/F";"2006-12-22";"0.79"
"08501X0101/F";"2006-12-23";"0.78"
"08501X0101/F";"2006-12-24";"0.77"
"08501X0101/F";"2006-12-25";"0.76"
"08501X0101/F";"2006-12-26";"0.75"
"08501X0101/F";"2006-12-27";"0.74"
"08501X0101/F";"2006-12-28";"0.74"
"08501X0101/F";"2006-12-29";"0.73"
"08501X0101/F";"2006-12-30";"0.72"
"08501X0101/F";"2006-12-31";"0.71"
"08501X0101/F";"2007-01-01";"0.72"
"08501X0101/F";"2007-01-02";"0.74"
"08501X0101/F";"2007-01-03";"0.74"
"08501X0101/F";"2007-01-04";"0.75"
"08501X0101/F";"2007-01-05";"0.78"
"08501X0101/F";"2007-01-06";"0.78"
"08501X0101/F";"2007-01-07";"0.79"
"08501X0101/F";"2007-01-08";"0.86"
"08501X0101/F";"2007-01-09";"0.91"
"08501X0101/F";"2007-01-10";"0.88"
"08501X0101/F";"2007-01-11";"0.86"
"08501X0101/F";"2007-01-12";"0.85"
"08501X0101/F";"2007-01-13";"0.84"
"08501X0101/F";"2007-01-14";"0.83"
"08501X0101/F";"2007-01-15";"0.82"
"08501X0101/F";"2007-01-16";"0.81"
"08501X0101/F";"2007-01-17";"0.8"
"08501X0101/F";"2007-01-18";"0.8"
"08501X0101/F";"2007-01-19";"0.81"
"08501X0101/F";"2007-01-20";"0.83"
"08501X0101/F";"2007-01-21";"0.84"
"08501X0101/F";"2007-01-22";"0.89"
"08501X0101/F";"2007-01-23";"0.91"
"08501X0101/F";"2007-01-24";"0.88"
"08501X0101/F";"2007-01-25";"0.93"
"08501X0101/F";"2007-01-26";"0.89"
"08501X0101/F";"2007-01-27";"0.87"
"08501X0101/F";"2007-01-28";"0.86"
"08501X0101/F";"2007-01-29";"0.85"
"08501X0101/F";"2007-01-30";"0.85"
"08501X0101/F";"2007-01-31";"0.84"
"08501X0101/F";"2007-02-01";"0.84"
"08501X0101/F";"2007-02-02";"0.83"
"08501X0101/F";"2007-02-03";"0.83"
"08501X0101/F";"2007-02-04";"0.83"
"08501X0101/F";"2007-02-05";"0.83"
"08501X0101/F";"2007-02-06";"0.88"
"08501X0101/F";"2007-02-07";"0.94"
"08501X0101/F";"2007-02-08";"0.94"
"08501X0101/F";"2007-02-09";"0.93"
"08501X0101/F";"2007-02-10";"0.93"
"08501X0101/F";"2007-02-11";"0.93"
"08501X0101/F";"2007-02-12";"0.96"
"08501X0101/F";"2007-02-13";"0.92"
"08501X0101/F";"2007-02-14";"0.9"
"08501X0101/F";"2007-02-15";"0.88"
"08501X0101/F";"2007-02-16";"0.88"
"08501X0101/F";"2007-02-17";"0.9"
"08501X0101/F";"2007-02-18";"0.91"
"08501X0101/F";"2007-02-19";"0.92"
"08501X0101/F";"2007-02-20";"0.92"
"08501X0101/F";"2007-02-21";"0.92"
"08501X0101/F";"2007-02-22";"0.89"
"08501X0101/F";"2007-02-23";"0.87"
"08501X0101/F";"2007-02-24";"0.92"
"08501X0101/F";"2007-02-25";"0.96"
"08501X0101/F";"2007-02-26";"0.97"
"08501X0101/F";"2007-02-27";"0.94"
"08501X0101/F";"2007-02-28";"0.93"
"08501X0101/F";"2007-03-01";"0.92"
"08501X0101/F";"2007-03-02";"0.99"
"08501X0101/F";"2007-03-03";"1.0"
"08501X0101/F";"2007-03-04";"0.97"
"08501X0101/F";"2007-03-05";"0.96"
"08501X0101/F";"2007-03-06";"0.95"
"08501X0101/F";"2007-03-07";"0.98"
"08501X0101/F";"2007-03-08";"0.96"
"08501X0101/F";"2007-03-09";"0.92"
"08501X0101/F";"2007-03-10";"0.91"
"08501X0101/F";"2007-03-11";"0.9"
"08501X0101/F";"2007-03-12";"0.89"
"08501X0101/F";"2007-03-13";"0.88"
"08501X0101/F";"2007-03-14";"0.87"
"08501X0101/F";"2007-03-15";"0.86"
"08501X0101/F";"2007-03-16";"0.86"
"08501X0101/F";"2007-03-17";"0.85"
"08501X0101/F";"2007-03-18";"0.87"
"08501X0101/F";"2007-03-19";"0.97"
"08501X0101/F";"2007-03-20";"0.98"
"08501X0101/F";"2007-03-21";"0.94"
"08501X0101/F";"2007-03-22";"0.9"
"08501X0101/F";"2007-03-23";"0.88"
"08501X0101/F";"2007-03-24";"0.88"
"08501X0101/F";"2007-03-25";"0.88"
"08501X0101/F";"2007-03-26";"0.87"
"08501X0101/F";"2007-03-27";"0.86"
"08501X0101/F";"2007-03-28";"0.89"
"08501X0101/F";"2007-03-29";"0.87"
"08501X0101/F";"2007-03-30";"0.91"
"08501X0101/F";"2007-03-31";"0.89"
"08501X0101/F";"2007-04-01";"0.89"
"08501X0101/F";"2007-04-02";"0.9"
"08501X0101/F";"2007-04-03";"0.88"
"08501X0101/F";"2007-04-04";"0.87"
"08501X0101/F";"2007-04-05";"0.86"
"08501X0101/F";"2007-04-06";"0.86"
"08501X0101/F";"2007-04-07";"0.85"
"08501X0101/F";"2007-04-08";"0.84"
"08501X0101/F";"2007-04-09";"0.83"
"08501X0101/F";"2007-04-10";"0.82"
"08501X0101/F";"2007-04-11";"0.82"
"08501X0101/F";"2007-04-12";"0.81"
"08501X0101/F";"2007-04-13";"0.83"
"08501X0101/F";"2007-04-14";"0.84"
"08501X0101/F";"2007-04-15";"0.83"
"08501X0101/F";"2007-04-16";"0.84"
"08501X0101/F";"2007-04-17";"0.86"
"08501X0101/F";"2007-04-18";"0.86"
"08501X0101/F";"2007-04-19";"0.86"
"08501X0101/F";"2007-04-20";"0.79"
"08501X0101/F";"2007-04-21";"0.77"
"08501X0101/F";"2007-04-22";"0.75"
"08501X0101/F";"2007-04-23";"0.74"
"08501X0101/F";"2007-04-24";"0.72"
"08501X0101/F";"2007-04-25";"0.71"
"08501X0101/F";"2007-04-26";"0.7"
"08501X0101/F";"2007-04-27";"0.69"
"08501X0101/F";"2007-04-28";"0.68"
"08501X0101/F";"2007-04-29";"0.67"
"08501X0101/F";"2007-04-30";"0.68"
"08501X0101/F";"2007-05-01";"0.76"
"08501X0101/F";"2007-05-02";"0.87"
"08501X0101/F";"2007-05-03";"0.85"
"08501X0101/F";"2007-05-04";"0.83"
"08501X0101/F";"2007-05-05";"0.81"
"08501X0101/F";"2007-05-06";"0.79"
"08501X0101/F";"2007-05-07";"0.78"
"08501X0101/F";"2007-05-08";"0.77"
"08501X0101/F";"2007-05-09";"0.76"
"08501X0101/F";"2007-05-10";"0.75"
"08501X0101/F";"2007-05-11";"0.73"
"08501X0101/F";"2007-05-12";"0.72"
"08501X0101/F";"2007-05-13";"0.71"
"08501X0101/F";"2007-05-14";"0.74"
"08501X0101/F";"2007-05-15";"0.77"
"08501X0101/F";"2007-05-16";"0.81"
"08501X0101/F";"2007-05-17";"0.81"
"08501X0101/F";"2007-05-18";"0.81"
"08501X0101/F";"2007-05-19";"0.79"
"08501X0101/F";"2007-05-20";"0.81"
"08501X0101/F";"2007-05-21";"0.81"
"08501X0101/F";"2007-05-22";"0.78"
"08501X0101/F";"2007-05-23";"0.76"
"08501X0101/F";"2007-05-24";"0.74"
"08501X0101/F";"2007-05-25";"0.75"
"08501X0101/F";"2007-05-26";"0.82"
"08501X0101/F";"2007-05-27";"0.85"
"08501X0101/F";"2007-05-28";"0.85"
"08501X0101/F";"2007-05-29";"0.83"
"08501X0101/F";"2007-05-30";"0.81"
"08501X0101/F";"2007-05-31";"0.8"
"08501X0101/F";"2007-06-01";"0.82"
"08501X0101/F";"2007-06-02";"0.8"
"08501X0101/F";"2007-06-03";"0.78"
"08501X0101/F";"2007-06-04";"0.77"
"08501X0101/F";"2007-06-05";"0.77"
"08501X0101/F";"2007-06-06";"0.76"
"08501X0101/F";"2007-06-07";"0.76"
"08501X0101/F";"2007-06-08";"0.74"
"08501X0101/F";"2007-06-09";"0.72"
"08501X0101/F";"2007-06-10";"0.75"
"08501X0101/F";"2007-06-11";"0.74"
"08501X0101/F";"2007-06-12";"0.72"
"08501X0101/F";"2007-06-13";"0.73"
"08501X0101/F";"2007-06-14";"0.76"
"08501X0101/F";"2007-06-15";"0.78"
"08501X0101/F";"2007-06-16";"0.77"
"08501X0101/F";"2007-06-17";"0.77"
"08501X0101/F";"2007-06-18";"0.76"
"08501X0101/F";"2007-06-19";"0.73"
"08501X0101/F";"2007-06-20";"0.7"
"08501X0101/F";"2007-06-21";"0.68"
"08501X0101/F";"2007-06-22";"0.69"
"08501X0101/F";"2007-06-23";"0.68"
"08501X0101/F";"2007-06-24";"0.66"
"08501X0101/F";"2007-06-25";"0.66"
"08501X0101/F";"2007-06-26";"0.65"
"08501X0101/F";"2007-06-27";"0.64"
"08501X0101/F";"2007-06-28";"0.63"
"08501X0101/F";"2007-06-29";"0.62"
"08501X0101/F";"2007-06-30";"0.61"
"08501X0101/F";"2007-07-01";"0.61"
"08501X0101/F";"2007-07-02";"0.63"
"08501X0101/F";"2007-07-03";"0.64"
"08501X0101/F";"2007-07-04";"0.67"
"08501X0101/F";"2007-07-05";"0.65"
"08501X0101/F";"2007-07-06";"0.63"
"08501X0101/F";"2007-07-07";"0.62"
"08501X0101/F";"2007-07-08";"0.64"
"08501X0101/F";"2007-07-09";"0.65"
"08501X0101/F";"2007-07-10";"0.65"
"08501X0101/F";"2007-07-11";"0.67"
"08501X0101/F";"2007-07-12";"0.63"
"08501X0101/F";"2007-07-13";"0.52"
"08501X0101/F";"2007-07-14";"0.51"
"08501X0101/F";"2007-07-15";"0.51"
"08501X0101/F";"2007-07-16";"0.51"
"08501X0101/F";"2007-07-17";"0.5"
"08501X0101/F";"2007-07-18";"0.52"
"08501X0101/F";"2007-07-19";"0.52"
"08501X0101/F";"2007-07-20";"0.51"
"08501X0101/F";"2007-07-21";"0.51"
"08501X0101/F";"2007-07-22";"0.5"
"08501X0101/F";"2007-07-23";"0.54"
"08501X0101/F";"2007-07-24";"0.56"
"08501X0101/F";"2007-07-25";"0.57"
"08501X0101/F";"2007-07-26";"0.57"
"08501X0101/F";"2007-07-27";"0.57"
"08501X0101/F";"2007-07-28";"0.56"
"08501X0101/F";"2007-07-29";"0.57"
"08501X0101/F";"2007-07-30";"0.59"
"08501X0101/F";"2007-07-31";"0.61"
"08501X0101/F";"2007-08-01";"0.64"
"08501X0101/F";"2007-08-02";"0.67"
"08501X0101/F";"2007-08-03";"0.68"
"08501X0101/F";"2007-08-04";"0.66"
"08501X0101/F";"2007-08-05";"0.62"
"08501X0101/F";"2007-08-06";"0.61"
"08501X0101/F";"2007-08-07";"0.6"
"08501X0101/F";"2007-08-08";"0.59"
"08501X0101/F";"2007-08-09";"0.57"
"08501X0101/F";"2007-08-10";"0.55"
"08501X0101/F";"2007-08-11";"0.54"
"08501X0101/F";"2007-08-12";"0.53"
"08501X0101/F";"2007-08-13";"0.53"
"08501X0101/F";"2007-08-14";"0.55"
"08501X0101/F";"2007-08-15";"0.56"
"08501X0101/F";"2007-08-16";"0.59"
"08501X0101/F";"2007-08-17";"0.56"
"08501X0101/F";"2007-08-18";"0.53"
"08501X0101/F";"2007-08-19";"0.53"
"08501X0101/F";"2007-08-20";"0.53"
"08501X0101/F";"2007-08-21";"0.59"
"08501X0101/F";"2007-08-22";"0.58"
"08501X0101/F";"2007-08-23";"0.61"
"08501X0101/F";"2007-08-24";"0.63"
"08501X0101/F";"2007-08-25";"0.63"
"08501X0101/F";"2007-08-26";"0.62"
"08501X0101/F";"2007-08-27";"0.62"
"08501X0101/F";"2007-08-28";"0.63"
"08501X0101/F";"2007-08-29";"0.73"
"08501X0101/F";"2007-08-30";"0.76"
"08501X0101/F";"2007-08-31";"0.76"
"08501X0101/F";"2007-09-01";"0.75"
"08501X0101/F";"2007-09-02";"0.73"
"08501X0101/F";"2007-09-03";"0.69"
"08501X0101/F";"2007-09-04";"0.65"
"08501X0101/F";"2007-09-05";"0.61"
"08501X0101/F";"2007-09-06";"0.58"
"08501X0101/F";"2007-09-07";"0.56"
"08501X0101/F";"2007-09-08";"0.54"
"08501X0101/F";"2007-09-09";"0.52"
"08501X0101/F";"2007-09-10";"0.51"
"08501X0101/F";"2007-09-11";"0.5"
"08501X0101/F";"2007-09-12";"0.49"
"08501X0101/F";"2007-09-13";"0.49"
"08501X0101/F";"2007-09-14";"0.48"
"08501X0101/F";"2007-09-15";"0.47"
"08501X0101/F";"2007-09-16";"0.46"
"08501X0101/F";"2007-09-17";"0.46"
"08501X0101/F";"2007-09-18";"0.45"
"08501X0101/F";"2007-09-19";"0.43"
"08501X0101/F";"2007-09-20";"0.41"
"08501X0101/F";"2007-09-21";"0.4"
"08501X0101/F";"2007-09-22";"0.45"
"08501X0101/F";"2007-09-23";"0.5"
"08501X0101/F";"2007-09-24";"0.5"
"08501X0101/F";"2007-09-25";"0.52"
"08501X0101/F";"2007-09-26";"0.58"
"08501X0101/F";"2007-09-27";"0.68"
"08501X0101/F";"2007-09-28";"0.75"
"08501X0101/F";"2007-09-29";"0.76"
"08501X0101/F";"2007-09-30";"0.76"
"08501X0101/F";"2007-10-01";"0.75"
"08501X0101/F";"2007-10-02";"0.74"
"08501X0101/F";"2007-10-03";"0.71"
"08501X0101/F";"2007-10-04";"0.68"
"08501X0101/F";"2007-10-05";"0.66"
"08501X0101/F";"2007-10-06";"0.64"
"08501X0101/F";"2007-10-07";"0.63"
"08501X0101/F";"2007-10-08";"0.61"
"08501X0101/F";"2007-10-09";"0.6"
"08501X0101/F";"2007-10-10";"0.61"
"08501X0101/F";"2007-10-11";"0.62"
"08501X0101/F";"2007-10-12";"0.61"
"08501X0101/F";"2007-10-13";"0.6"
"08501X0101/F";"2007-10-14";"0.59"
"08501X0101/F";"2007-10-15";"0.58"
"08501X0101/F";"2007-10-16";"0.57"
"08501X0101/F";"2007-10-17";"0.55"
"08501X0101/F";"2007-10-18";"0.54"
"08501X0101/F";"2007-10-19";"0.52"
"08501X0101/F";"2007-10-20";"0.51"
"08501X0101/F";"2007-10-21";"0.5"
"08501X0101/F";"2007-10-22";"0.49"
"08501X0101/F";"2007-10-23";"0.49"
"08501X0101/F";"2007-10-24";"0.5"
"08501X0101/F";"2007-10-25";"0.56"
"08501X0101/F";"2007-10-26";"0.66"
"08501X0101/F";"2007-10-27";"0.73"
"08501X0101/F";"2007-10-28";"0.74"
"08501X0101/F";"2007-10-29";"0.74"
"08501X0101/F";"2007-10-30";"0.72"
"08501X0101/F";"2007-10-31";"0.68"
"08501X0101/F";"2007-11-01";"0.65"
"08501X0101/F";"2007-11-02";"0.63"
"08501X0101/F";"2007-11-03";"0.61"
"08501X0101/F";"2007-11-04";"0.6"
"08501X0101/F";"2007-11-05";"0.59"
"08501X0101/F";"2007-11-06";"0.58"
"08501X0101/F";"2007-11-07";"0.57"
"08501X0101/F";"2007-11-08";"0.57"
"08501X0101/F";"2007-11-09";"0.57"
"08501X0101/F";"2007-11-10";"0.57"
"08501X0101/F";"2007-11-11";"0.57"
"08501X0101/F";"2007-11-12";"0.57"
"08501X0101/F";"2007-11-13";"0.56"
"08501X0101/F";"2007-11-14";"0.55"
"08501X0101/F";"2007-11-15";"0.53"
"08501X0101/F";"2007-11-16";"0.52"
"08501X0101/F";"2007-11-17";"0.51"
"08501X0101/F";"2007-11-18";"0.51"
"08501X0101/F";"2007-11-19";"0.54"
"08501X0101/F";"2007-11-20";"0.56"
"08501X0101/F";"2007-11-21";"0.62"
"08501X0101/F";"2007-11-22";"0.65"
"08501X0101/F";"2007-11-23";"0.7"
"08501X0101/F";"2007-11-24";"0.74"
"08501X0101/F";"2007-11-25";"0.75"
"08501X0101/F";"2007-11-26";"0.76"
"08501X0101/F";"2007-11-27";"0.74"
"08501X0101/F";"2007-11-28";"0.73"
"08501X0101/F";"2007-11-29";"0.71"
"08501X0101/F";"2007-11-30";"0.7"
"08501X0101/F";"2007-12-01";"0.71"
"08501X0101/F";"2007-12-02";"0.72"
"08501X0101/F";"2007-12-03";"0.75"
"08501X0101/F";"2007-12-04";"0.75"
"08501X0101/F";"2007-12-05";"0.74"
"08501X0101/F";"2007-12-06";"0.74"
"08501X0101/F";"2007-12-07";"0.76"
"08501X0101/F";"2007-12-08";"0.78"
"08501X0101/F";"2007-12-09";"0.88"
"08501X0101/F";"2007-12-10";"0.87"
"08501X0101/F";"2007-12-11";"0.85"
"08501X0101/F";"2007-12-12";"0.82"
"08501X0101/F";"2007-12-13";"0.81"
"08501X0101/F";"2007-12-14";"0.8"
"08501X0101/F";"2007-12-15";"0.79"
"08501X0101/F";"2007-12-16";"0.78"
"08501X0101/F";"2007-12-17";"0.77"
"08501X0101/F";"2007-12-18";"0.76"
"08501X0101/F";"2007-12-19";"0.75"
"08501X0101/F";"2007-12-20";"0.74"
"08501X0101/F";"2007-12-21";"0.74"
"08501X0101/F";"2007-12-22";"0.74"
"08501X0101/F";"2007-12-23";"0.74"
"08501X0101/F";"2007-12-24";"0.75"
"08501X0101/F";"2007-12-25";"0.78"
"08501X0101/F";"2007-12-26";"0.77"
"08501X0101/F";"2007-12-27";"0.76"
"08501X0101/F";"2007-12-28";"0.75"
"08501X0101/F";"2007-12-29";"0.74"
"08501X0101/F";"2007-12-30";"0.74"
"08501X0101/F";"2007-12-31";"0.73"
"08501X0101/F";"2008-01-01";"0.72"
"08501X0101/F";"2008-01-02";"0.71"
"08501X0101/F";"2008-01-03";"0.71"
"08501X0101/F";"2008-01-04";"0.71"
"08501X0101/F";"2008-01-05";"0.73"
"08501X0101/F";"2008-01-06";"0.84"
"08501X0101/F";"2008-01-07";"0.85"
"08501X0101/F";"2008-01-08";"0.83"
"08501X0101/F";"2008-01-09";"0.82"
"08501X0101/F";"2008-01-10";"0.81"
"08501X0101/F";"2008-01-11";"0.84"
"08501X0101/F";"2008-01-12";"0.87"
"08501X0101/F";"2008-01-13";"0.85"
"08501X0101/F";"2008-01-14";"0.83"
"08501X0101/F";"2008-01-15";"0.83"
"08501X0101/F";"2008-01-16";"0.91"
"08501X0101/F";"2008-01-17";"0.91"
"08501X0101/F";"2008-01-18";"0.91"
"08501X0101/F";"2008-01-19";"0.88"
"08501X0101/F";"2008-01-20";"0.86"
"08501X0101/F";"2008-01-21";"0.85"
"08501X0101/F";"2008-01-22";"0.84"
"08501X0101/F";"2008-01-23";"0.84"
"08501X0101/F";"2008-01-24";"0.84"
"08501X0101/F";"2008-01-25";"0.83"
"08501X0101/F";"2008-01-26";"0.82"
"08501X0101/F";"2008-01-27";"0.81"
"08501X0101/F";"2008-01-28";"0.81"
"08501X0101/F";"2008-01-29";"0.8"
"08501X0101/F";"2008-01-30";"0.8"
"08501X0101/F";"2008-01-31";"0.8"
"08501X0101/F";"2008-02-01";"0.81"
"08501X0101/F";"2008-02-02";"0.85"
"08501X0101/F";"2008-02-03";"0.83"
"08501X0101/F";"2008-02-04";"0.87"
"08501X0101/F";"2008-02-05";"0.89"
"08501X0101/F";"2008-02-06";"0.87"
"08501X0101/F";"2008-02-07";"0.86"
"08501X0101/F";"2008-02-08";"0.86"
"08501X0101/F";"2008-02-09";"0.86"
"08501X0101/F";"2008-02-10";"0.85"
"08501X0101/F";"2008-02-11";"0.85"
"08501X0101/F";"2008-02-12";"0.84"
"08501X0101/F";"2008-02-13";"0.83"
"08501X0101/F";"2008-02-14";"0.82"
"08501X0101/F";"2008-02-15";"0.82"
"08501X0101/F";"2008-02-16";"0.81"
"08501X0101/F";"2008-02-17";"0.8"
"08501X0101/F";"2008-02-18";"0.8"
"08501X0101/F";"2008-02-19";"0.8"
"08501X0101/F";"2008-02-20";"0.81"
"08501X0101/F";"2008-02-21";"0.82"
"08501X0101/F";"2008-02-22";"0.84"
"08501X0101/F";"2008-02-23";"0.84"
"08501X0101/F";"2008-02-24";"0.84"
"08501X0101/F";"2008-02-25";"0.83"
"08501X0101/F";"2008-02-26";"0.82"
"08501X0101/F";"2008-02-27";"0.84"
"08501X0101/F";"2008-02-28";"0.83"
"08501X0101/F";"2008-02-29";"0.82"
"08501X0101/F";"2008-03-01";"0.81"
"08501X0101/F";"2008-03-02";"0.8"
"08501X0101/F";"2008-03-03";"0.8"
"08501X0101/F";"2008-03-04";"0.83"
"08501X0101/F";"2008-03-05";"0.83"
"08501X0101/F";"2008-03-06";"0.82"
"08501X0101/F";"2008-03-07";"0.82"
"08501X0101/F";"2008-03-08";"0.85"
"08501X0101/F";"2008-03-09";"0.9"
"08501X0101/F";"2008-03-10";"0.96"
"08501X0101/F";"2008-03-11";"0.99"
"08501X0101/F";"2008-03-12";"0.94"
"08501X0101/F";"2008-03-13";"0.91"
"08501X0101/F";"2008-03-14";"0.89"
"08501X0101/F";"2008-03-15";"0.89"
"08501X0101/F";"2008-03-16";"0.89"
"08501X0101/F";"2008-03-17";"0.89"
"08501X0101/F";"2008-03-18";"0.87"
"08501X0101/F";"2008-03-19";"0.86"
"08501X0101/F";"2008-03-20";"0.85"
"08501X0101/F";"2008-03-21";"0.89"
"08501X0101/F";"2008-03-22";"0.93"
"08501X0101/F";"2008-03-23";"0.9"
"08501X0101/F";"2008-03-24";"0.91"
"08501X0101/F";"2008-03-25";"0.92"
"08501X0101/F";"2008-03-26";"0.94"
"08501X0101/F";"2008-03-27";"0.95"
"08501X0101/F";"2008-03-28";"0.94"
"08501X0101/F";"2008-03-29";"0.92"
"08501X0101/F";"2008-03-30";"0.91"
"08501X0101/F";"2008-03-31";"0.92"
"08501X0101/F";"2008-04-01";"0.9"
"08501X0101/F";"2008-04-02";"0.89"
"08501X0101/F";"2008-04-03";"0.88"
"08501X0101/F";"2008-04-04";"0.88"
"08501X0101/F";"2008-04-05";"0.88"
"08501X0101/F";"2008-04-06";"0.89"
"08501X0101/F";"2008-04-07";"0.9"
"08501X0101/F";"2008-04-08";"0.92"
"08501X0101/F";"2008-04-09";"0.92"
"08501X0101/F";"2008-04-10";"0.91"
"08501X0101/F";"2008-04-11";"0.89"
"08501X0101/F";"2008-04-12";"0.88"
"08501X0101/F";"2008-04-13";"0.88"
"08501X0101/F";"2008-04-14";"0.89"
"08501X0101/F";"2008-04-15";"0.87"
"08501X0101/F";"2008-04-16";"0.87"
"08501X0101/F";"2008-04-17";"0.89"
"08501X0101/F";"2008-04-18";"0.92"
"08501X0101/F";"2008-04-19";"0.93"
"08501X0101/F";"2008-04-20";"0.91"
"08501X0101/F";"2008-04-21";"0.93"
"08501X0101/F";"2008-04-22";"0.93"
"08501X0101/F";"2008-04-23";"0.91"
"08501X0101/F";"2008-04-24";"0.89"
"08501X0101/F";"2008-04-25";"0.87"
"08501X0101/F";"2008-04-26";"0.86"
