"code_bss";"date_mesure";"niveau_nappe_eau"
"12308X0086/PZ4";"2009-12-29";"1.58"
"12308X0086/PZ4";"2009-12-30";"1.6"
"12308X0086/PZ4";"2009-12-31";"1.6"
"12308X0086/PZ4";"2010-01-01";"1.61"
"12308X0086/PZ4";"2010-01-02";"1.61"
"12308X0086/PZ4";"2010-01-03";"1.61"
"12308X0086/PZ4";"2010-01-04";"1.61"
"12308X0086/PZ4";"2010-01-05";"1.61"
"12308X0086/PZ4";"2010-01-06";"1.62"
"12308X0086/PZ4";"2010-01-07";"1.62"
"12308X0086/PZ4";"2010-01-08";"1.62"
"12308X0086/PZ4";"2010-01-09";"1.63"
"12308X0086/PZ4";"2010-01-10";"1.63"
"12308X0086/PZ4";"2010-01-11";"1.62"
"12308X0086/PZ4";"2010-01-12";"1.62"
"12308X0086/PZ4";"2010-01-13";"1.61"
"12308X0086/PZ4";"2010-01-14";"1.61"
"12308X0086/PZ4";"2010-01-15";"1.6"
"12308X0086/PZ4";"2010-01-16";"1.6"
"12308X0086/PZ4";"2010-01-17";"1.6"
"12308X0086/PZ4";"2010-01-18";"1.58"
"12308X0086/PZ4";"2010-01-19";"1.6"
"12308X0086/PZ4";"2010-01-20";"1.6"
"12308X0086/PZ4";"2010-01-21";"1.6"
"12308X0086/PZ4";"2010-01-22";"1.6"
"12308X0086/PZ4";"2010-01-23";"1.6"
"12308X0086/PZ4";"2010-01-24";"1.6"
"12308X0086/PZ4";"2010-01-25";"1.6"
"12308X0086/PZ4";"2010-01-26";"1.6"
"12308X0086/PZ4";"2010-01-27";"1.6"
"12308X0086/PZ4";"2010-01-28";"1.6"
"12308X0086/PZ4";"2010-01-29";"1.6"
"12308X0086/PZ4";"2010-01-30";"1.6"
"12308X0086/PZ4";"2010-01-31";"1.61"
"12308X0086/PZ4";"2010-02-01";"1.61"
"12308X0086/PZ4";"2010-02-02";"1.61"
"12308X0086/PZ4";"2010-02-03";"1.61"
"12308X0086/PZ4";"2010-02-04";"1.61"
"12308X0086/PZ4";"2010-02-05";"1.6"
"12308X0086/PZ4";"2010-02-06";"1.57"
"12308X0086/PZ4";"2010-02-07";"1.56"
"12308X0086/PZ4";"2010-02-08";"1.55"
"12308X0086/PZ4";"2010-02-09";"1.55"
"12308X0086/PZ4";"2010-02-10";"1.54"
"12308X0086/PZ4";"2010-02-11";"1.54"
"12308X0086/PZ4";"2010-02-12";"1.54"
"12308X0086/PZ4";"2010-02-13";"1.54"
"12308X0086/PZ4";"2010-02-14";"1.55"
"12308X0086/PZ4";"2010-02-15";"1.55"
"12308X0086/PZ4";"2010-02-16";"1.55"
"12308X0086/PZ4";"2010-02-17";"1.55"
"12308X0086/PZ4";"2010-02-18";"1.55"
"12308X0086/PZ4";"2010-02-19";"1.55"
"12308X0086/PZ4";"2010-02-20";"1.56"
"12308X0086/PZ4";"2010-02-21";"1.56"
"12308X0086/PZ4";"2010-02-22";"1.56"
"12308X0086/PZ4";"2010-02-23";"1.56"
"12308X0086/PZ4";"2010-02-24";"1.57"
"12308X0086/PZ4";"2010-02-25";"1.58"
"12308X0086/PZ4";"2010-02-26";"1.58"
"12308X0086/PZ4";"2010-02-27";"1.6"
"12308X0086/PZ4";"2010-02-28";"1.61"
"12308X0086/PZ4";"2010-03-01";"1.61"
"12308X0086/PZ4";"2010-03-02";"1.62"
"12308X0086/PZ4";"2010-03-03";"1.63"
"12308X0086/PZ4";"2010-03-04";"1.63"
"12308X0086/PZ4";"2010-03-05";"1.64"
"12308X0086/PZ4";"2010-03-06";"1.64"
"12308X0086/PZ4";"2010-03-07";"1.63"
"12308X0086/PZ4";"2010-03-08";"1.63"
"12308X0086/PZ4";"2010-03-09";"1.63"
"12308X0086/PZ4";"2010-03-10";"1.62"
"12308X0086/PZ4";"2010-03-11";"1.62"
"12308X0086/PZ4";"2010-03-12";"1.62"
"12308X0086/PZ4";"2010-03-13";"1.62"
"12308X0086/PZ4";"2010-03-14";"1.63"
"12308X0086/PZ4";"2010-03-15";"1.63"
"12308X0086/PZ4";"2010-03-16";"1.63"
"12308X0086/PZ4";"2010-03-17";"1.63"
"12308X0086/PZ4";"2010-03-18";"1.63"
"12308X0086/PZ4";"2010-03-19";"1.63"
"12308X0086/PZ4";"2010-03-20";"1.63"
"12308X0086/PZ4";"2010-03-21";"1.63"
"12308X0086/PZ4";"2010-03-22";"1.62"
"12308X0086/PZ4";"2010-03-23";"1.62"
"12308X0086/PZ4";"2010-03-24";"1.61"
"12308X0086/PZ4";"2010-03-25";"1.61"
"12308X0086/PZ4";"2010-03-26";"1.61"
"12308X0086/PZ4";"2010-03-27";"1.58"
"12308X0086/PZ4";"2010-03-28";"1.57"
"12308X0086/PZ4";"2010-03-29";"1.57"
"12308X0086/PZ4";"2010-03-30";"1.58"
"12308X0086/PZ4";"2010-03-31";"1.6"
"12308X0086/PZ4";"2010-04-01";"1.6"
"12308X0086/PZ4";"2010-04-02";"1.6"
"12308X0086/PZ4";"2010-04-03";"1.6"
"12308X0086/PZ4";"2010-04-04";"1.58"
"12308X0086/PZ4";"2010-04-05";"1.57"
"12308X0086/PZ4";"2010-04-06";"1.56"
"12308X0086/PZ4";"2010-04-07";"1.56"
"12308X0086/PZ4";"2010-04-08";"1.55"
"12308X0086/PZ4";"2010-04-09";"1.55"
"12308X0086/PZ4";"2010-04-10";"1.55"
"12308X0086/PZ4";"2010-04-11";"1.56"
"12308X0086/PZ4";"2010-04-12";"1.56"
"12308X0086/PZ4";"2010-04-13";"1.56"
"12308X0086/PZ4";"2010-04-14";"1.57"
"12308X0086/PZ4";"2010-04-15";"1.57"
"12308X0086/PZ4";"2010-04-16";"1.58"
"12308X0086/PZ4";"2010-04-17";"1.58"
"12308X0086/PZ4";"2010-04-18";"1.58"
"12308X0086/PZ4";"2010-04-19";"1.58"
"12308X0086/PZ4";"2010-04-20";"1.57"
"12308X0086/PZ4";"2010-04-21";"1.56"
"12308X0086/PZ4";"2010-04-22";"1.55"
"12308X0086/PZ4";"2010-04-23";"1.55"
"12308X0086/PZ4";"2010-04-24";"1.55"
"12308X0086/PZ4";"2010-04-25";"1.55"
"12308X0086/PZ4";"2010-04-26";"1.55"
"12308X0086/PZ4";"2010-04-27";"1.55"
"12308X0086/PZ4";"2010-04-28";"1.55"
"12308X0086/PZ4";"2010-04-29";"1.55"
"12308X0086/PZ4";"2010-04-30";"1.55"
"12308X0086/PZ4";"2010-05-01";"1.55"
"12308X0086/PZ4";"2010-05-02";"1.55"
"12308X0086/PZ4";"2010-05-03";"1.55"
"12308X0086/PZ4";"2010-05-04";"1.55"
"12308X0086/PZ4";"2010-05-05";"1.54"
"12308X0086/PZ4";"2010-05-06";"1.54"
"12308X0086/PZ4";"2010-05-07";"1.54"
"12308X0086/PZ4";"2010-05-08";"1.54"
"12308X0086/PZ4";"2010-05-09";"1.54"
"12308X0086/PZ4";"2010-05-10";"1.55"
"12308X0086/PZ4";"2010-05-11";"1.55"
"12308X0086/PZ4";"2010-05-12";"1.55"
"12308X0086/PZ4";"2010-05-13";"1.56"
"12308X0086/PZ4";"2010-05-14";"1.56"
"12308X0086/PZ4";"2010-05-15";"1.57"
"12308X0086/PZ4";"2010-05-16";"1.58"
"12308X0086/PZ4";"2010-05-17";"1.58"
"12308X0086/PZ4";"2010-05-18";"1.58"
"12308X0086/PZ4";"2010-05-19";"1.58"
"12308X0086/PZ4";"2010-05-20";"1.58"
"12308X0086/PZ4";"2010-05-21";"1.57"
"12308X0086/PZ4";"2010-05-22";"1.57"
"12308X0086/PZ4";"2010-05-23";"1.57"
"12308X0086/PZ4";"2010-05-24";"1.57"
"12308X0086/PZ4";"2010-05-25";"1.57"
"12308X0086/PZ4";"2010-05-26";"1.57"
"12308X0086/PZ4";"2010-05-27";"1.57"
"12308X0086/PZ4";"2010-05-28";"1.56"
"12308X0086/PZ4";"2010-05-29";"1.56"
"12308X0086/PZ4";"2010-05-30";"1.55"
"12308X0086/PZ4";"2010-05-31";"1.55"
"12308X0086/PZ4";"2010-06-01";"1.55"
"12308X0086/PZ4";"2010-06-02";"1.55"
"12308X0086/PZ4";"2010-06-03";"1.54"
"12308X0086/PZ4";"2010-06-04";"1.53"
"12308X0086/PZ4";"2010-06-05";"1.52"
"12308X0086/PZ4";"2010-06-06";"1.52"
"12308X0086/PZ4";"2010-06-07";"1.5"
"12308X0086/PZ4";"2010-06-08";"1.49"
"12308X0086/PZ4";"2010-06-09";"1.49"
"12308X0086/PZ4";"2010-06-10";"1.48"
"12308X0086/PZ4";"2010-06-11";"1.48"
"12308X0086/PZ4";"2010-06-12";"1.48"
"12308X0086/PZ4";"2010-06-13";"1.48"
"12308X0086/PZ4";"2010-06-14";"1.49"
"12308X0086/PZ4";"2010-06-15";"1.48"
"12308X0086/PZ4";"2010-06-16";"1.48"
"12308X0086/PZ4";"2010-06-17";"1.48"
"12308X0086/PZ4";"2010-06-18";"1.57"
"12308X0086/PZ4";"2010-06-19";"1.58"
"12308X0086/PZ4";"2010-06-20";"1.58"
"12308X0086/PZ4";"2010-06-21";"1.58"
"12308X0086/PZ4";"2010-06-22";"1.6"
"12308X0086/PZ4";"2010-06-23";"1.61"
"12308X0086/PZ4";"2010-06-24";"1.62"
"12308X0086/PZ4";"2010-06-25";"1.63"
"12308X0086/PZ4";"2010-06-26";"1.63"
"12308X0086/PZ4";"2010-06-27";"1.63"
"12308X0086/PZ4";"2010-06-28";"1.63"
"12308X0086/PZ4";"2010-06-29";"1.63"
"12308X0086/PZ4";"2010-06-30";"1.64"
"12308X0086/PZ4";"2010-07-01";"1.64"
"12308X0086/PZ4";"2010-07-02";"1.63"
"12308X0086/PZ4";"2010-07-03";"1.63"
"12308X0086/PZ4";"2010-07-04";"1.63"
"12308X0086/PZ4";"2010-07-05";"1.63"
"12308X0086/PZ4";"2010-07-06";"1.63"
"12308X0086/PZ4";"2010-07-07";"1.63"
"12308X0086/PZ4";"2010-07-08";"1.63"
"12308X0086/PZ4";"2010-07-09";"1.63"
"12308X0086/PZ4";"2010-07-10";"1.64"
"12308X0086/PZ4";"2010-07-11";"1.65"
"12308X0086/PZ4";"2010-07-12";"1.65"
"12308X0086/PZ4";"2010-07-13";"1.65"
"12308X0086/PZ4";"2010-07-14";"1.65"
"12308X0086/PZ4";"2010-07-15";"1.65"
"12308X0086/PZ4";"2010-07-16";"1.64"
"12308X0086/PZ4";"2010-07-17";"1.64"
"12308X0086/PZ4";"2010-07-18";"1.63"
"12308X0086/PZ4";"2010-07-19";"1.63"
"12308X0086/PZ4";"2010-07-20";"1.61"
"12308X0086/PZ4";"2010-07-21";"1.6"
"12308X0086/PZ4";"2010-07-22";"1.61"
"12308X0086/PZ4";"2010-07-23";"1.6"
"12308X0086/PZ4";"2010-07-24";"1.6"
"12308X0086/PZ4";"2010-07-25";"1.6"
"12308X0086/PZ4";"2010-07-26";"1.6"
"12308X0086/PZ4";"2010-07-27";"1.6"
"12308X0086/PZ4";"2010-07-28";"1.6"
"12308X0086/PZ4";"2010-07-29";"1.58"
"12308X0086/PZ4";"2010-07-30";"1.57"
"12308X0086/PZ4";"2010-07-31";"1.56"
"12308X0086/PZ4";"2010-08-01";"1.55"
"12308X0086/PZ4";"2010-08-02";"1.55"
"12308X0086/PZ4";"2010-08-03";"1.55"
"12308X0086/PZ4";"2010-08-04";"1.54"
"12308X0086/PZ4";"2010-08-05";"1.53"
"12308X0086/PZ4";"2010-08-06";"1.53"
"12308X0086/PZ4";"2010-08-07";"1.54"
"12308X0086/PZ4";"2010-08-08";"1.55"
"12308X0086/PZ4";"2010-08-09";"1.56"
"12308X0086/PZ4";"2010-08-10";"1.57"
"12308X0086/PZ4";"2010-08-11";"1.6"
"12308X0086/PZ4";"2010-08-12";"1.6"
"12308X0086/PZ4";"2010-08-13";"1.61"
"12308X0086/PZ4";"2010-08-14";"1.62"
"12308X0086/PZ4";"2010-08-15";"1.62"
"12308X0086/PZ4";"2010-08-16";"1.61"
"12308X0086/PZ4";"2010-08-17";"1.6"
"12308X0086/PZ4";"2010-08-18";"1.58"
"12308X0086/PZ4";"2010-08-19";"1.58"
"12308X0086/PZ4";"2010-08-20";"1.58"
"12308X0086/PZ4";"2010-08-21";"1.58"
"12308X0086/PZ4";"2010-08-22";"1.6"
"12308X0086/PZ4";"2010-08-23";"1.62"
"12308X0086/PZ4";"2010-08-24";"1.62"
"12308X0086/PZ4";"2010-08-25";"1.62"
"12308X0086/PZ4";"2010-08-26";"1.63"
"12308X0086/PZ4";"2010-08-27";"1.54"
"12308X0086/PZ4";"2010-08-29";"1.63"
"12308X0086/PZ4";"2010-08-30";"1.63"
"12308X0086/PZ4";"2010-08-31";"1.63"
"12308X0086/PZ4";"2010-09-01";"1.62"
"12308X0086/PZ4";"2010-09-02";"1.63"
"12308X0086/PZ4";"2010-09-03";"1.63"
"12308X0086/PZ4";"2010-09-04";"1.63"
"12308X0086/PZ4";"2010-09-05";"1.64"
"12308X0086/PZ4";"2010-09-06";"1.63"
"12308X0086/PZ4";"2010-09-07";"1.63"
"12308X0086/PZ4";"2010-09-08";"1.62"
"12308X0086/PZ4";"2010-09-09";"1.6"
"12308X0086/PZ4";"2010-09-10";"1.6"
"12308X0086/PZ4";"2010-09-11";"1.6"
"12308X0086/PZ4";"2010-09-12";"1.6"
"12308X0086/PZ4";"2010-09-13";"1.6"
"12308X0086/PZ4";"2010-09-14";"1.58"
"12308X0086/PZ4";"2010-09-15";"1.78"
"12308X0086/PZ4";"2010-09-16";"1.59"
"12308X0086/PZ4";"2010-09-17";"1.6"
"12308X0086/PZ4";"2010-09-18";"1.61"
"12308X0086/PZ4";"2010-09-19";"1.62"
"12308X0086/PZ4";"2010-09-20";"1.62"
"12308X0086/PZ4";"2010-09-21";"1.64"
"12308X0086/PZ4";"2010-09-22";"1.62"
"12308X0086/PZ4";"2010-09-23";"1.61"
"12308X0086/PZ4";"2010-09-24";"1.6"
"12308X0086/PZ4";"2010-09-25";"1.59"
"12308X0086/PZ4";"2010-09-26";"1.58"
"12308X0086/PZ4";"2010-09-27";"1.57"
"12308X0086/PZ4";"2010-09-28";"1.57"
"12308X0086/PZ4";"2010-09-29";"1.58"
"12308X0086/PZ4";"2010-09-30";"1.58"
"12308X0086/PZ4";"2010-10-01";"1.58"
"12308X0086/PZ4";"2010-10-02";"1.58"
"12308X0086/PZ4";"2010-10-03";"1.58"
"12308X0086/PZ4";"2010-10-04";"1.58"
"12308X0086/PZ4";"2010-10-05";"1.59"
"12308X0086/PZ4";"2010-10-06";"1.59"
"12308X0086/PZ4";"2010-10-07";"1.6"
"12308X0086/PZ4";"2010-10-08";"1.6"
"12308X0086/PZ4";"2010-10-09";"1.6"
"12308X0086/PZ4";"2010-10-10";"1.59"
"12308X0086/PZ4";"2010-10-11";"1.58"
"12308X0086/PZ4";"2010-10-12";"1.6"
"12308X0086/PZ4";"2010-10-13";"1.59"
"12308X0086/PZ4";"2010-10-14";"1.6"
"12308X0086/PZ4";"2010-10-15";"1.61"
"12308X0086/PZ4";"2010-10-16";"1.64"
"12308X0086/PZ4";"2010-10-17";"1.64"
"12308X0086/PZ4";"2010-10-18";"1.66"
"12308X0086/PZ4";"2010-10-19";"1.67"
"12308X0086/PZ4";"2010-10-20";"1.7"
"12308X0086/PZ4";"2010-10-21";"1.64"
"12308X0086/PZ4";"2010-10-22";"1.62"
"12308X0086/PZ4";"2010-10-23";"1.62"
"12308X0086/PZ4";"2010-10-24";"1.62"
"12308X0086/PZ4";"2010-10-25";"1.62"
"12308X0086/PZ4";"2010-10-26";"1.6"
"12308X0086/PZ4";"2010-10-27";"1.6"
"12308X0086/PZ4";"2010-10-28";"1.6"
"12308X0086/PZ4";"2010-10-29";"1.62"
"12308X0086/PZ4";"2010-10-30";"1.62"
"12308X0086/PZ4";"2010-10-31";"1.62"
"12308X0086/PZ4";"2010-11-01";"1.62"
"12308X0086/PZ4";"2010-11-02";"1.64"
"12308X0086/PZ4";"2010-11-03";"1.65"
"12308X0086/PZ4";"2010-11-04";"1.65"
"12308X0086/PZ4";"2010-11-05";"1.64"
"12308X0086/PZ4";"2010-11-06";"1.64"
"12308X0086/PZ4";"2010-11-07";"1.62"
"12308X0086/PZ4";"2010-11-08";"1.62"
"12308X0086/PZ4";"2010-11-09";"1.62"
"12308X0086/PZ4";"2010-11-10";"1.61"
"12308X0086/PZ4";"2010-11-11";"1.6"
"12308X0086/PZ4";"2010-11-12";"1.61"
"12308X0086/PZ4";"2010-11-13";"1.61"
"12308X0086/PZ4";"2010-11-14";"1.62"
"12308X0086/PZ4";"2010-11-15";"1.65"
"12308X0086/PZ4";"2010-11-16";"1.65"
"12308X0086/PZ4";"2010-11-17";"1.66"
"12308X0086/PZ4";"2010-11-18";"1.66"
"12308X0086/PZ4";"2010-11-19";"1.58"
"12308X0086/PZ4";"2010-12-07";"1.58"
"12308X0086/PZ4";"2010-12-13";"1.59"
"12308X0086/PZ4";"2010-12-14";"1.61"
"12308X0086/PZ4";"2010-12-15";"1.61"
"12308X0086/PZ4";"2010-12-16";"1.6"
"12308X0086/PZ4";"2010-12-17";"1.62"
"12308X0086/PZ4";"2010-12-18";"1.62"
"12308X0086/PZ4";"2010-12-19";"1.64"
"12308X0086/PZ4";"2010-12-20";"1.64"
"12308X0086/PZ4";"2010-12-21";"1.64"
"12308X0086/PZ4";"2010-12-22";"1.66"
"12308X0086/PZ4";"2010-12-23";"1.66"
"12308X0086/PZ4";"2010-12-24";"1.66"
"12308X0086/PZ4";"2010-12-25";"1.67"
"12308X0086/PZ4";"2010-12-26";"1.65"
"12308X0086/PZ4";"2010-12-27";"1.65"
"12308X0086/PZ4";"2010-12-28";"1.65"
"12308X0086/PZ4";"2010-12-29";"1.65"
"12308X0086/PZ4";"2010-12-30";"1.64"
"12308X0086/PZ4";"2010-12-31";"1.64"
"12308X0086/PZ4";"2011-01-01";"1.64"
"12308X0086/PZ4";"2011-01-02";"1.62"
"12308X0086/PZ4";"2011-01-03";"1.62"
"12308X0086/PZ4";"2011-01-04";"1.61"
"12308X0086/PZ4";"2011-01-05";"1.62"
"12308X0086/PZ4";"2011-01-06";"1.61"
"12308X0086/PZ4";"2011-01-07";"1.6"
"12308X0086/PZ4";"2011-01-08";"1.6"
"12308X0086/PZ4";"2011-01-09";"1.59"
"12308X0086/PZ4";"2011-01-10";"1.59"
"12308X0086/PZ4";"2011-01-11";"1.59"
"12308X0086/PZ4";"2011-01-12";"1.59"
"12308X0086/PZ4";"2011-01-13";"1.58"
"12308X0086/PZ4";"2011-01-14";"1.58"
"12308X0086/PZ4";"2011-01-15";"1.58"
"12308X0086/PZ4";"2011-01-16";"1.58"
"12308X0086/PZ4";"2011-01-17";"1.58"
"12308X0086/PZ4";"2011-01-18";"1.6"
"12308X0086/PZ4";"2011-01-19";"1.61"
"12308X0086/PZ4";"2011-01-20";"1.62"
"12308X0086/PZ4";"2011-01-21";"1.65"
"12308X0086/PZ4";"2011-01-22";"1.65"
"12308X0086/PZ4";"2011-01-23";"1.66"
"12308X0086/PZ4";"2011-01-24";"1.55"
"12308X0086/PZ4";"2011-01-25";"1.67"
"12308X0086/PZ4";"2011-01-26";"1.67"
"12308X0086/PZ4";"2011-01-27";"1.66"
"12308X0086/PZ4";"2011-01-28";"1.65"
"12308X0086/PZ4";"2011-01-29";"1.64"
"12308X0086/PZ4";"2011-01-30";"1.64"
"12308X0086/PZ4";"2011-01-31";"1.64"
"12308X0086/PZ4";"2011-02-01";"1.64"
"12308X0086/PZ4";"2011-02-02";"1.65"
"12308X0086/PZ4";"2011-02-03";"1.65"
"12308X0086/PZ4";"2011-02-04";"1.65"
"12308X0086/PZ4";"2011-02-05";"1.66"
"12308X0086/PZ4";"2011-02-06";"1.65"
"12308X0086/PZ4";"2011-02-07";"1.64"
"12308X0086/PZ4";"2011-02-08";"1.64"
"12308X0086/PZ4";"2011-02-09";"1.62"
"12308X0086/PZ4";"2011-02-10";"1.61"
"12308X0086/PZ4";"2011-02-11";"1.6"
"12308X0086/PZ4";"2011-02-12";"1.59"
"12308X0086/PZ4";"2011-02-13";"1.59"
"12308X0086/PZ4";"2011-02-14";"1.59"
"12308X0086/PZ4";"2011-02-15";"1.6"
"12308X0086/PZ4";"2011-02-16";"1.6"
"12308X0086/PZ4";"2011-02-17";"1.61"
"12308X0086/PZ4";"2011-02-18";"1.62"
"12308X0086/PZ4";"2011-02-19";"1.64"
"12308X0086/PZ4";"2011-02-20";"1.64"
"12308X0086/PZ4";"2011-02-21";"1.64"
"12308X0086/PZ4";"2011-02-22";"1.62"
"12308X0086/PZ4";"2011-02-23";"1.6"
"12308X0086/PZ4";"2011-02-24";"1.59"
"12308X0086/PZ4";"2011-02-25";"1.59"
"12308X0086/PZ4";"2011-02-26";"1.58"
"12308X0086/PZ4";"2011-02-27";"1.56"
"12308X0086/PZ4";"2011-02-28";"1.56"
"12308X0086/PZ4";"2011-03-01";"1.57"
"12308X0086/PZ4";"2011-03-02";"1.57"
"12308X0086/PZ4";"2011-03-03";"1.57"
"12308X0086/PZ4";"2011-03-04";"1.58"
"12308X0086/PZ4";"2011-03-05";"1.58"
"12308X0086/PZ4";"2011-03-06";"1.58"
"12308X0086/PZ4";"2011-03-07";"1.58"
"12308X0086/PZ4";"2011-03-08";"1.59"
"12308X0086/PZ4";"2011-03-09";"1.58"
"12308X0086/PZ4";"2011-03-10";"1.57"
"12308X0086/PZ4";"2011-03-11";"1.57"
"12308X0086/PZ4";"2011-03-12";"1.56"
"12308X0086/PZ4";"2011-03-13";"1.56"
"12308X0086/PZ4";"2011-03-14";"1.55"
"12308X0086/PZ4";"2011-03-15";"1.55"
"12308X0086/PZ4";"2011-03-16";"1.56"
"12308X0086/PZ4";"2011-03-17";"1.58"
"12308X0086/PZ4";"2011-03-18";"1.59"
"12308X0086/PZ4";"2011-03-19";"1.61"
"12308X0086/PZ4";"2011-03-20";"1.64"
"12308X0086/PZ4";"2011-03-21";"1.65"
"12308X0086/PZ4";"2011-03-22";"1.65"
"12308X0086/PZ4";"2011-03-23";"1.64"
"12308X0086/PZ4";"2011-03-24";"1.62"
"12308X0086/PZ4";"2011-03-25";"1.6"
"12308X0086/PZ4";"2011-03-26";"1.6"
"12308X0086/PZ4";"2011-03-27";"1.59"
"12308X0086/PZ4";"2011-03-28";"1.58"
"12308X0086/PZ4";"2011-03-29";"1.58"
"12308X0086/PZ4";"2011-03-30";"1.58"
"12308X0086/PZ4";"2011-03-31";"1.58"
"12308X0086/PZ4";"2011-04-01";"1.58"
"12308X0086/PZ4";"2011-04-02";"1.58"
"12308X0086/PZ4";"2011-04-03";"1.59"
"12308X0086/PZ4";"2011-04-04";"1.59"
"12308X0086/PZ4";"2011-04-05";"1.59"
"12308X0086/PZ4";"2011-04-06";"1.59"
"12308X0086/PZ4";"2011-04-07";"1.59"
"12308X0086/PZ4";"2011-04-08";"1.59"
"12308X0086/PZ4";"2011-04-09";"1.59"
"12308X0086/PZ4";"2011-04-10";"1.59"
"12308X0086/PZ4";"2011-04-11";"1.59"
"12308X0086/PZ4";"2011-04-12";"1.59"
"12308X0086/PZ4";"2011-04-13";"1.6"
"12308X0086/PZ4";"2011-04-14";"1.6"
"12308X0086/PZ4";"2011-04-15";"1.61"
"12308X0086/PZ4";"2011-04-16";"1.64"
"12308X0086/PZ4";"2011-04-17";"1.67"
"12308X0086/PZ4";"2011-04-18";"1.67"
"12308X0086/PZ4";"2011-04-19";"1.68"
"12308X0086/PZ4";"2011-04-20";"1.68"
"12308X0086/PZ4";"2011-04-21";"1.67"
"12308X0086/PZ4";"2011-04-22";"1.67"
"12308X0086/PZ4";"2011-04-23";"1.66"
"12308X0086/PZ4";"2011-04-24";"1.65"
"12308X0086/PZ4";"2011-04-25";"1.64"
"12308X0086/PZ4";"2011-04-26";"1.62"
"12308X0086/PZ4";"2011-04-27";"1.62"
"12308X0086/PZ4";"2011-04-28";"1.62"
"12308X0086/PZ4";"2011-04-29";"1.64"
"12308X0086/PZ4";"2011-04-30";"1.64"
"12308X0086/PZ4";"2011-05-01";"1.65"
"12308X0086/PZ4";"2011-05-02";"1.65"
"12308X0086/PZ4";"2011-05-03";"1.65"
"12308X0086/PZ4";"2011-05-04";"1.65"
